DayOfWeek,Crimes,avg_temp,NFL_Game_Day,Day,Month,Year
Saturday,45,12,0,11,1,2003
Saturday,20,12,0,11,1,2003
Saturday,14,12,0,11,1,2003
Saturday,53,12,0,11,1,2003
Saturday,40,12,0,11,1,2003
Saturday,19,12,0,11,1,2003
Sunday,35,14,0,12,1,2003
Sunday,32,14,0,12,1,2003
Sunday,39,14,0,12,1,2003
Sunday,44,14,0,12,1,2003
Sunday,31,14,0,12,1,2003
Sunday,13,14,0,12,1,2003
Sunday,18,14,0,12,1,2003
Sunday,56,14,0,12,1,2003
Sunday,17,14,0,12,1,2003
Sunday,39,14,0,12,1,2003
Monday,57,9,0,20,1,2003
Monday,39,9,0,20,1,2003
Monday,40,9,0,20,1,2003
Monday,56,9,0,20,1,2003
Monday,49,9,0,20,1,2003
Monday,19,9,0,20,1,2003
Monday,24,9,0,20,1,2003
Monday,78,9,0,20,1,2003
Monday,30,9,0,20,1,2003
Monday,22,9,0,20,1,2003
Tuesday,39,11,0,21,1,2003
Tuesday,33,11,0,21,1,2003
Tuesday,43,11,0,21,1,2003
Tuesday,44,11,0,21,1,2003
Tuesday,43,11,0,21,1,2003
Tuesday,17,11,0,21,1,2003
Tuesday,26,11,0,21,1,2003
Tuesday,58,11,0,21,1,2003
Tuesday,26,11,0,21,1,2003
Tuesday,51,11,0,21,1,2003
Wednesday,46,14,0,22,1,2003
Wednesday,40,14,0,22,1,2003
Wednesday,48,14,0,22,1,2003
Wednesday,65,14,0,22,1,2003
Wednesday,58,14,0,22,1,2003
Wednesday,32,14,0,22,1,2003
Wednesday,23,14,0,22,1,2003
Wednesday,73,14,0,22,1,2003
Wednesday,29,14,0,22,1,2003
Wednesday,44,14,0,22,1,2003
Thursday,44,14,0,23,1,2003
Thursday,40,14,0,23,1,2003
Thursday,49,14,0,23,1,2003
Thursday,71,14,0,23,1,2003
Thursday,44,14,0,23,1,2003
Thursday,29,14,0,23,1,2003
Thursday,20,14,0,23,1,2003
Thursday,93,14,0,23,1,2003
Thursday,35,14,0,23,1,2003
Thursday,29,14,0,23,1,2003
Friday,46,13,0,24,1,2003
Friday,30,13,0,24,1,2003
Friday,49,13,0,24,1,2003
Friday,68,13,0,24,1,2003
Friday,67,13,0,24,1,2003
Friday,38,13,0,24,1,2003
Friday,31,13,0,24,1,2003
Friday,73,13,0,24,1,2003
Friday,31,13,0,24,1,2003
Friday,33,13,0,24,1,2003
Saturday,84,14,0,25,1,2003
Saturday,47,14,0,25,1,2003
Saturday,25,14,0,25,1,2003
Saturday,75,14,0,25,1,2003
Saturday,40,14,0,25,1,2003
Saturday,21,14,0,25,1,2003
Saturday,19,14,0,25,1,2003
Saturday,78,14,0,25,1,2003
Saturday,38,14,0,25,1,2003
Saturday,42,14,0,25,1,2003
Sunday,41,13,0,26,1,2003
Sunday,28,13,0,26,1,2003
Sunday,27,13,0,26,1,2003
Sunday,51,13,0,26,1,2003
Sunday,47,13,0,26,1,2003
Sunday,14,13,0,26,1,2003
Sunday,23,13,0,26,1,2003
Sunday,44,13,0,26,1,2003
Sunday,32,13,0,26,1,2003
Sunday,34,13,0,26,1,2003
Monday,40,11,0,3,2,2003
Monday,20,11,0,3,2,2003
Monday,54,11,0,3,2,2003
Monday,69,11,0,3,2,2003
Monday,47,11,0,3,2,2003
Monday,28,11,0,3,2,2003
Monday,26,11,0,3,2,2003
Monday,65,11,0,3,2,2003
Monday,29,11,0,3,2,2003
Monday,46,11,0,3,2,2003
Tuesday,40,11,0,4,2,2003
Tuesday,33,11,0,4,2,2003
Tuesday,33,11,0,4,2,2003
Tuesday,87,11,0,4,2,2003
Tuesday,48,11,0,4,2,2003
Tuesday,23,11,0,4,2,2003
Tuesday,17,11,0,4,2,2003
Tuesday,71,11,0,4,2,2003
Tuesday,37,11,0,4,2,2003
Tuesday,61,11,0,4,2,2003
Wednesday,33,11,0,5,2,2003
Wednesday,36,11,0,5,2,2003
Wednesday,44,11,0,5,2,2003
Wednesday,66,11,0,5,2,2003
Wednesday,48,11,0,5,2,2003
Wednesday,21,11,0,5,2,2003
Wednesday,19,11,0,5,2,2003
Wednesday,75,11,0,5,2,2003
Wednesday,19,11,0,5,2,2003
Wednesday,45,11,0,5,2,2003
Thursday,68,9,0,6,2,2003
Thursday,53,9,0,6,2,2003
Thursday,47,9,0,6,2,2003
Thursday,73,9,0,6,2,2003
Thursday,61,9,0,6,2,2003
Thursday,14,9,0,6,2,2003
Thursday,22,9,0,6,2,2003
Thursday,77,9,0,6,2,2003
Thursday,30,9,0,6,2,2003
Thursday,29,9,0,6,2,2003
Friday,53,11,0,7,2,2003
Friday,52,11,0,7,2,2003
Friday,47,11,0,7,2,2003
Friday,65,11,0,7,2,2003
Friday,77,11,0,7,2,2003
Friday,29,11,0,7,2,2003
Friday,27,11,0,7,2,2003
Friday,87,11,0,7,2,2003
Friday,29,11,0,7,2,2003
Friday,40,11,0,7,2,2003
Saturday,32,8,0,8,2,2003
Saturday,42,8,0,8,2,2003
Saturday,37,8,0,8,2,2003
Saturday,49,8,0,8,2,2003
Saturday,44,8,0,8,2,2003
Saturday,19,8,0,8,2,2003
Saturday,10,8,0,8,2,2003
Saturday,83,8,0,8,2,2003
Saturday,29,8,0,8,2,2003
Saturday,29,8,0,8,2,2003
Sunday,43,8,0,9,2,2003
Sunday,22,8,0,9,2,2003
Sunday,31,8,0,9,2,2003
Sunday,50,8,0,9,2,2003
Sunday,48,8,0,9,2,2003
Sunday,19,8,0,9,2,2003
Sunday,26,8,0,9,2,2003
Sunday,60,8,0,9,2,2003
Sunday,28,8,0,9,2,2003
Sunday,33,8,0,9,2,2003
Monday,39,11,0,17,2,2003
Monday,47,11,0,17,2,2003
Monday,35,11,0,17,2,2003
Monday,54,11,0,17,2,2003
Monday,50,11,0,17,2,2003
Monday,10,11,0,17,2,2003
Monday,23,11,0,17,2,2003
Monday,64,11,0,17,2,2003
Monday,20,11,0,17,2,2003
Monday,39,11,0,17,2,2003
Tuesday,54,11,0,18,2,2003
Tuesday,28,11,0,18,2,2003
Tuesday,45,11,0,18,2,2003
Tuesday,90,11,0,18,2,2003
Tuesday,71,11,0,18,2,2003
Tuesday,23,11,0,18,2,2003
Tuesday,19,11,0,18,2,2003
Tuesday,81,11,0,18,2,2003
Tuesday,26,11,0,18,2,2003
Tuesday,48,11,0,18,2,2003
Wednesday,56,11,0,19,2,2003
Wednesday,38,11,0,19,2,2003
Wednesday,51,11,0,19,2,2003
Wednesday,48,11,0,19,2,2003
Wednesday,63,11,0,19,2,2003
Wednesday,19,11,0,19,2,2003
Wednesday,31,11,0,19,2,2003
Wednesday,83,11,0,19,2,2003
Wednesday,38,11,0,19,2,2003
Wednesday,38,11,0,19,2,2003
Thursday,39,11,0,20,2,2003
Thursday,35,11,0,20,2,2003
Thursday,49,11,0,20,2,2003
Thursday,71,11,0,20,2,2003
Thursday,39,11,0,20,2,2003
Thursday,25,11,0,20,2,2003
Thursday,24,11,0,20,2,2003
Thursday,69,11,0,20,2,2003
Thursday,31,11,0,20,2,2003
Thursday,42,11,0,20,2,2003
Friday,63,12,0,21,2,2003
Friday,31,12,0,21,2,2003
Friday,40,12,0,21,2,2003
Friday,60,12,0,21,2,2003
Friday,46,12,0,21,2,2003
Friday,25,12,0,21,2,2003
Friday,23,12,0,21,2,2003
Friday,61,12,0,21,2,2003
Friday,37,12,0,21,2,2003
Friday,31,12,0,21,2,2003
Saturday,42,13,0,22,2,2003
Saturday,38,13,0,22,2,2003
Saturday,43,13,0,22,2,2003
Saturday,102,13,0,22,2,2003
Saturday,50,13,0,22,2,2003
Saturday,21,13,0,22,2,2003
Saturday,24,13,0,22,2,2003
Saturday,69,13,0,22,2,2003
Saturday,22,13,0,22,2,2003
Saturday,21,13,0,22,2,2003
Sunday,44,12,0,23,2,2003
Sunday,24,12,0,23,2,2003
Sunday,43,12,0,23,2,2003
Sunday,48,12,0,23,2,2003
Sunday,55,12,0,23,2,2003
Sunday,17,12,0,23,2,2003
Sunday,22,12,0,23,2,2003
Sunday,70,12,0,23,2,2003
Sunday,28,12,0,23,2,2003
Sunday,15,12,0,23,2,2003
Monday,43,11,0,3,3,2003
Monday,43,11,0,3,3,2003
Monday,37,11,0,3,3,2003
Monday,64,11,0,3,3,2003
Monday,48,11,0,3,3,2003
Monday,28,11,0,3,3,2003
Monday,17,11,0,3,3,2003
Monday,58,11,0,3,3,2003
Monday,29,11,0,3,3,2003
Monday,26,11,0,3,3,2003
Tuesday,48,10,0,4,3,2003
Tuesday,41,10,0,4,3,2003
Tuesday,41,10,0,4,3,2003
Tuesday,59,10,0,4,3,2003
Tuesday,55,10,0,4,3,2003
Tuesday,24,10,0,4,3,2003
Tuesday,23,10,0,4,3,2003
Tuesday,91,10,0,4,3,2003
Tuesday,43,10,0,4,3,2003
Tuesday,39,10,0,4,3,2003
Wednesday,36,12,0,5,3,2003
Wednesday,24,12,0,5,3,2003
Wednesday,38,12,0,5,3,2003
Wednesday,69,12,0,5,3,2003
Wednesday,64,12,0,5,3,2003
Wednesday,25,12,0,5,3,2003
Wednesday,18,12,0,5,3,2003
Wednesday,67,12,0,5,3,2003
Wednesday,35,12,0,5,3,2003
Wednesday,42,12,0,5,3,2003
Thursday,43,12,0,6,3,2003
Thursday,37,12,0,6,3,2003
Thursday,49,12,0,6,3,2003
Thursday,56,12,0,6,3,2003
Thursday,56,12,0,6,3,2003
Thursday,20,12,0,6,3,2003
Thursday,18,12,0,6,3,2003
Thursday,70,12,0,6,3,2003
Thursday,41,12,0,6,3,2003
Thursday,33,12,0,6,3,2003
Friday,35,11,0,7,3,2003
Friday,50,11,0,7,3,2003
Friday,35,11,0,7,3,2003
Friday,86,11,0,7,3,2003
Friday,59,11,0,7,3,2003
Friday,41,11,0,7,3,2003
Friday,23,11,0,7,3,2003
Friday,84,11,0,7,3,2003
Friday,33,11,0,7,3,2003
Friday,47,11,0,7,3,2003
Saturday,45,11,0,8,3,2003
Saturday,41,11,0,8,3,2003
Saturday,34,11,0,8,3,2003
Saturday,69,11,0,8,3,2003
Saturday,53,11,0,8,3,2003
Saturday,30,11,0,8,3,2003
Saturday,14,11,0,8,3,2003
Saturday,72,11,0,8,3,2003
Saturday,32,11,0,8,3,2003
Saturday,27,11,0,8,3,2003
Sunday,58,11,0,9,3,2003
Sunday,36,11,0,9,3,2003
Sunday,34,11,0,9,3,2003
Sunday,47,11,0,9,3,2003
Sunday,39,11,0,9,3,2003
Sunday,17,11,0,9,3,2003
Sunday,11,11,0,9,3,2003
Sunday,65,11,0,9,3,2003
Sunday,22,11,0,9,3,2003
Sunday,30,11,0,9,3,2003
Monday,43,12,0,17,3,2003
Monday,39,12,0,17,3,2003
Monday,44,12,0,17,3,2003
Monday,57,12,0,17,3,2003
Monday,55,12,0,17,3,2003
Monday,22,12,0,17,3,2003
Monday,22,12,0,17,3,2003
Monday,63,12,0,17,3,2003
Monday,30,12,0,17,3,2003
Monday,36,12,0,17,3,2003
Tuesday,43,12,0,18,3,2003
Tuesday,48,12,0,18,3,2003
Tuesday,49,12,0,18,3,2003
Tuesday,39,12,0,18,3,2003
Tuesday,63,12,0,18,3,2003
Tuesday,22,12,0,18,3,2003
Tuesday,27,12,0,18,3,2003
Tuesday,60,12,0,18,3,2003
Tuesday,38,12,0,18,3,2003
Tuesday,41,12,0,18,3,2003
Wednesday,34,13,0,19,3,2003
Wednesday,26,13,0,19,3,2003
Wednesday,40,13,0,19,3,2003
Wednesday,44,13,0,19,3,2003
Wednesday,46,13,0,19,3,2003
Wednesday,14,13,0,19,3,2003
Wednesday,14,13,0,19,3,2003
Wednesday,58,13,0,19,3,2003
Wednesday,27,13,0,19,3,2003
Wednesday,36,13,0,19,3,2003
Thursday,29,13,0,20,3,2003
Thursday,38,13,0,20,3,2003
Thursday,38,13,0,20,3,2003
Thursday,52,13,0,20,3,2003
Thursday,46,13,0,20,3,2003
Thursday,19,13,0,20,3,2003
Thursday,15,13,0,20,3,2003
Thursday,163,13,0,20,3,2003
Thursday,37,13,0,20,3,2003
Thursday,23,13,0,20,3,2003
Friday,38,12,0,21,3,2003
Friday,52,12,0,21,3,2003
Friday,32,12,0,21,3,2003
Friday,47,12,0,21,3,2003
Friday,67,12,0,21,3,2003
Friday,25,12,0,21,3,2003
Friday,10,12,0,21,3,2003
Friday,89,12,0,21,3,2003
Friday,22,12,0,21,3,2003
Friday,20,12,0,21,3,2003
Saturday,32,13,0,22,3,2003
Saturday,38,13,0,22,3,2003
Saturday,21,13,0,22,3,2003
Saturday,51,13,0,22,3,2003
Saturday,49,13,0,22,3,2003
Saturday,15,13,0,22,3,2003
Saturday,20,13,0,22,3,2003
Saturday,90,13,0,22,3,2003
Saturday,35,13,0,22,3,2003
Saturday,31,13,0,22,3,2003
Sunday,32,12,0,23,3,2003
Sunday,25,12,0,23,3,2003
Sunday,34,12,0,23,3,2003
Sunday,38,12,0,23,3,2003
Sunday,52,12,0,23,3,2003
Sunday,23,12,0,23,3,2003
Sunday,22,12,0,23,3,2003
Sunday,43,12,0,23,3,2003
Sunday,32,12,0,23,3,2003
Sunday,22,12,0,23,3,2003
Monday,45,14,0,31,3,2003
Monday,25,14,0,31,3,2003
Monday,32,14,0,31,3,2003
Monday,53,14,0,31,3,2003
Monday,50,14,0,31,3,2003
Monday,22,14,0,31,3,2003
Monday,24,14,0,31,3,2003
Monday,68,14,0,31,3,2003
Monday,28,14,0,31,3,2003
Monday,38,14,0,31,3,2003
Tuesday,58,12,0,1,4,2003
Tuesday,41,12,0,1,4,2003
Tuesday,55,12,0,1,4,2003
Tuesday,64,12,0,1,4,2003
Tuesday,57,12,0,1,4,2003
Tuesday,31,12,0,1,4,2003
Tuesday,37,12,0,1,4,2003
Tuesday,90,12,0,1,4,2003
Tuesday,41,12,0,1,4,2003
Tuesday,50,12,0,1,4,2003
Wednesday,47,10,0,2,4,2003
Wednesday,31,10,0,2,4,2003
Wednesday,38,10,0,2,4,2003
Wednesday,43,10,0,2,4,2003
Wednesday,65,10,0,2,4,2003
Wednesday,24,10,0,2,4,2003
Wednesday,25,10,0,2,4,2003
Wednesday,80,10,0,2,4,2003
Wednesday,46,10,0,2,4,2003
Wednesday,45,10,0,2,4,2003
Thursday,51,9,0,3,4,2003
Thursday,56,9,0,3,4,2003
Thursday,39,9,0,3,4,2003
Thursday,60,9,0,3,4,2003
Thursday,41,9,0,3,4,2003
Thursday,21,9,0,3,4,2003
Thursday,20,9,0,3,4,2003
Thursday,81,9,0,3,4,2003
Thursday,37,9,0,3,4,2003
Thursday,34,9,0,3,4,2003
Friday,46,11,0,4,4,2003
Friday,40,11,0,4,4,2003
Friday,36,11,0,4,4,2003
Friday,89,11,0,4,4,2003
Friday,61,11,0,4,4,2003
Friday,26,11,0,4,4,2003
Friday,18,11,0,4,4,2003
Friday,96,11,0,4,4,2003
Friday,37,11,0,4,4,2003
Friday,38,11,0,4,4,2003
Saturday,47,10,0,5,4,2003
Saturday,49,10,0,5,4,2003
Saturday,32,10,0,5,4,2003
Saturday,54,10,0,5,4,2003
Saturday,56,10,0,5,4,2003
Saturday,26,10,0,5,4,2003
Saturday,22,10,0,5,4,2003
Saturday,79,10,0,5,4,2003
Saturday,24,10,0,5,4,2003
Saturday,24,10,0,5,4,2003
Sunday,51,12,0,6,4,2003
Sunday,22,12,0,6,4,2003
Sunday,34,12,0,6,4,2003
Sunday,37,12,0,6,4,2003
Sunday,49,12,0,6,4,2003
Sunday,30,12,0,6,4,2003
Sunday,19,12,0,6,4,2003
Sunday,58,12,0,6,4,2003
Sunday,22,12,0,6,4,2003
Sunday,21,12,0,6,4,2003
Monday,56,11,0,14,4,2003
Monday,34,11,0,14,4,2003
Monday,44,11,0,14,4,2003
Monday,54,11,0,14,4,2003
Monday,48,11,0,14,4,2003
Monday,52,11,0,14,4,2003
Monday,20,11,0,14,4,2003
Monday,80,11,0,14,4,2003
Monday,31,11,0,14,4,2003
Monday,40,11,0,14,4,2003
Tuesday,55,11,0,15,4,2003
Tuesday,46,11,0,15,4,2003
Tuesday,46,11,0,15,4,2003
Tuesday,72,11,0,15,4,2003
Tuesday,34,11,0,15,4,2003
Tuesday,15,11,0,15,4,2003
Tuesday,29,11,0,15,4,2003
Tuesday,72,11,0,15,4,2003
Tuesday,34,11,0,15,4,2003
Tuesday,59,11,0,15,4,2003
Wednesday,37,12,0,16,4,2003
Wednesday,31,12,0,16,4,2003
Wednesday,33,12,0,16,4,2003
Wednesday,42,12,0,16,4,2003
Wednesday,49,12,0,16,4,2003
Wednesday,23,12,0,16,4,2003
Wednesday,22,12,0,16,4,2003
Wednesday,73,12,0,16,4,2003
Wednesday,37,12,0,16,4,2003
Wednesday,26,12,0,16,4,2003
Thursday,36,13,0,17,4,2003
Thursday,37,13,0,17,4,2003
Thursday,41,13,0,17,4,2003
Thursday,63,13,0,17,4,2003
Thursday,44,13,0,17,4,2003
Thursday,22,13,0,17,4,2003
Thursday,15,13,0,17,4,2003
Thursday,85,13,0,17,4,2003
Thursday,31,13,0,17,4,2003
Thursday,32,13,0,17,4,2003
Friday,33,13,0,18,4,2003
Friday,40,13,0,18,4,2003
Friday,27,13,0,18,4,2003
Friday,93,13,0,18,4,2003
Friday,61,13,0,18,4,2003
Friday,19,13,0,18,4,2003
Friday,15,13,0,18,4,2003
Friday,89,13,0,18,4,2003
Friday,29,13,0,18,4,2003
Friday,36,13,0,18,4,2003
Saturday,37,13,0,19,4,2003
Saturday,38,13,0,19,4,2003
Saturday,37,13,0,19,4,2003
Saturday,51,13,0,19,4,2003
Saturday,47,13,0,19,4,2003
Saturday,22,13,0,19,4,2003
Saturday,24,13,0,19,4,2003
Saturday,64,13,0,19,4,2003
Saturday,22,13,0,19,4,2003
Saturday,24,13,0,19,4,2003
Sunday,52,13,0,20,4,2003
Sunday,37,13,0,20,4,2003
Sunday,31,13,0,20,4,2003
Sunday,39,13,0,20,4,2003
Sunday,44,13,0,20,4,2003
Sunday,26,13,0,20,4,2003
Sunday,16,13,0,20,4,2003
Sunday,56,13,0,20,4,2003
Sunday,36,13,0,20,4,2003
Sunday,32,13,0,20,4,2003
Monday,42,12,0,28,4,2003
Monday,39,12,0,28,4,2003
Monday,43,12,0,28,4,2003
Monday,62,12,0,28,4,2003
Monday,26,12,0,28,4,2003
Monday,28,12,0,28,4,2003
Monday,21,12,0,28,4,2003
Monday,75,12,0,28,4,2003
Monday,33,12,0,28,4,2003
Monday,30,12,0,28,4,2003
Tuesday,30,12,0,29,4,2003
Tuesday,44,12,0,29,4,2003
Tuesday,36,12,0,29,4,2003
Tuesday,49,12,0,29,4,2003
Tuesday,39,12,0,29,4,2003
Tuesday,19,12,0,29,4,2003
Tuesday,41,12,0,29,4,2003
Tuesday,76,12,0,29,4,2003
Tuesday,36,12,0,29,4,2003
Tuesday,45,12,0,29,4,2003
Wednesday,27,12,0,30,4,2003
Wednesday,35,12,0,30,4,2003
Wednesday,47,12,0,30,4,2003
Wednesday,81,12,0,30,4,2003
Wednesday,42,12,0,30,4,2003
Wednesday,29,12,0,30,4,2003
Wednesday,26,12,0,30,4,2003
Wednesday,70,12,0,30,4,2003
Wednesday,34,12,0,30,4,2003
Wednesday,25,12,0,30,4,2003
Thursday,41,16,0,1,5,2003
Thursday,44,16,0,1,5,2003
Thursday,50,16,0,1,5,2003
Thursday,53,16,0,1,5,2003
Thursday,65,16,0,1,5,2003
Thursday,30,16,0,1,5,2003
Thursday,18,16,0,1,5,2003
Thursday,86,16,0,1,5,2003
Thursday,51,16,0,1,5,2003
Thursday,61,16,0,1,5,2003
Friday,45,15,0,2,5,2003
Friday,36,15,0,2,5,2003
Friday,39,15,0,2,5,2003
Friday,61,15,0,2,5,2003
Friday,51,15,0,2,5,2003
Friday,23,15,0,2,5,2003
Friday,27,15,0,2,5,2003
Friday,93,15,0,2,5,2003
Friday,34,15,0,2,5,2003
Friday,39,15,0,2,5,2003
Saturday,46,15,0,3,5,2003
Saturday,29,15,0,3,5,2003
Saturday,37,15,0,3,5,2003
Saturday,52,15,0,3,5,2003
Saturday,49,15,0,3,5,2003
Saturday,11,15,0,3,5,2003
Saturday,17,15,0,3,5,2003
Saturday,58,15,0,3,5,2003
Saturday,14,15,0,3,5,2003
Saturday,25,15,0,3,5,2003
Sunday,38,14,0,4,5,2003
Sunday,34,14,0,4,5,2003
Sunday,40,14,0,4,5,2003
Sunday,46,14,0,4,5,2003
Sunday,36,14,0,4,5,2003
Sunday,19,14,0,4,5,2003
Sunday,21,14,0,4,5,2003
Sunday,51,14,0,4,5,2003
Sunday,25,14,0,4,5,2003
Sunday,31,14,0,4,5,2003
Monday,55,14,0,12,5,2003
Monday,41,14,0,12,5,2003
Monday,34,14,0,12,5,2003
Monday,64,14,0,12,5,2003
Monday,55,14,0,12,5,2003
Monday,31,14,0,12,5,2003
Monday,19,14,0,12,5,2003
Monday,70,14,0,12,5,2003
Monday,44,14,0,12,5,2003
Monday,29,14,0,12,5,2003
Tuesday,57,14,0,13,5,2003
Tuesday,35,14,0,13,5,2003
Tuesday,40,14,0,13,5,2003
Tuesday,69,14,0,13,5,2003
Tuesday,62,14,0,13,5,2003
Tuesday,30,14,0,13,5,2003
Tuesday,23,14,0,13,5,2003
Tuesday,67,14,0,13,5,2003
Tuesday,37,14,0,13,5,2003
Tuesday,54,14,0,13,5,2003
Wednesday,53,13,0,14,5,2003
Wednesday,47,13,0,14,5,2003
Wednesday,41,13,0,14,5,2003
Wednesday,55,13,0,14,5,2003
Wednesday,62,13,0,14,5,2003
Wednesday,16,13,0,14,5,2003
Wednesday,26,13,0,14,5,2003
Wednesday,66,13,0,14,5,2003
Wednesday,37,13,0,14,5,2003
Wednesday,61,13,0,14,5,2003
Thursday,40,13,0,15,5,2003
Thursday,40,13,0,15,5,2003
Thursday,43,13,0,15,5,2003
Thursday,48,13,0,15,5,2003
Thursday,78,13,0,15,5,2003
Thursday,22,13,0,15,5,2003
Thursday,28,13,0,15,5,2003
Thursday,92,13,0,15,5,2003
Thursday,22,13,0,15,5,2003
Thursday,37,13,0,15,5,2003
Friday,47,13,0,16,5,2003
Friday,46,13,0,16,5,2003
Friday,39,13,0,16,5,2003
Friday,68,13,0,16,5,2003
Friday,60,13,0,16,5,2003
Friday,16,13,0,16,5,2003
Friday,21,13,0,16,5,2003
Friday,82,13,0,16,5,2003
Friday,28,13,0,16,5,2003
Friday,39,13,0,16,5,2003
Saturday,41,13,0,17,5,2003
Saturday,30,13,0,17,5,2003
Saturday,36,13,0,17,5,2003
Saturday,42,13,0,17,5,2003
Saturday,35,13,0,17,5,2003
Saturday,17,13,0,17,5,2003
Saturday,22,13,0,17,5,2003
Saturday,61,13,0,17,5,2003
Saturday,24,13,0,17,5,2003
Saturday,29,13,0,17,5,2003
Sunday,27,16,0,18,5,2003
Sunday,35,16,0,18,5,2003
Sunday,28,16,0,18,5,2003
Sunday,52,16,0,18,5,2003
Sunday,53,16,0,18,5,2003
Sunday,23,16,0,18,5,2003
Sunday,35,16,0,18,5,2003
Sunday,69,16,0,18,5,2003
Sunday,26,16,0,18,5,2003
Sunday,28,16,0,18,5,2003
Monday,42,16,0,26,5,2003
Monday,43,16,0,26,5,2003
Monday,41,16,0,26,5,2003
Monday,34,16,0,26,5,2003
Monday,50,16,0,26,5,2003
Monday,15,16,0,26,5,2003
Monday,20,16,0,26,5,2003
Monday,74,16,0,26,5,2003
Monday,22,16,0,26,5,2003
Monday,13,16,0,26,5,2003
Tuesday,66,20,0,27,5,2003
Tuesday,30,20,0,27,5,2003
Tuesday,33,20,0,27,5,2003
Tuesday,53,20,0,27,5,2003
Tuesday,73,20,0,27,5,2003
Tuesday,31,20,0,27,5,2003
Tuesday,20,20,0,27,5,2003
Tuesday,81,20,0,27,5,2003
Tuesday,39,20,0,27,5,2003
Tuesday,28,20,0,27,5,2003
Wednesday,40,20,0,28,5,2003
Wednesday,31,20,0,28,5,2003
Wednesday,38,20,0,28,5,2003
Wednesday,57,20,0,28,5,2003
Wednesday,58,20,0,28,5,2003
Wednesday,15,20,0,28,5,2003
Wednesday,18,20,0,28,5,2003
Wednesday,55,20,0,28,5,2003
Wednesday,37,20,0,28,5,2003
Wednesday,24,20,0,28,5,2003
Thursday,56,16,0,29,5,2003
Thursday,37,16,0,29,5,2003
Thursday,46,16,0,29,5,2003
Thursday,54,16,0,29,5,2003
Thursday,60,16,0,29,5,2003
Thursday,22,16,0,29,5,2003
Thursday,29,16,0,29,5,2003
Thursday,59,16,0,29,5,2003
Thursday,31,16,0,29,5,2003
Thursday,51,16,0,29,5,2003
Friday,41,14,0,30,5,2003
Friday,40,14,0,30,5,2003
Friday,45,14,0,30,5,2003
Friday,54,14,0,30,5,2003
Friday,35,14,0,30,5,2003
Friday,23,14,0,30,5,2003
Friday,21,14,0,30,5,2003
Friday,73,14,0,30,5,2003
Friday,37,14,0,30,5,2003
Friday,26,14,0,30,5,2003
Saturday,32,14,0,31,5,2003
Saturday,34,14,0,31,5,2003
Saturday,27,14,0,31,5,2003
Saturday,58,14,0,31,5,2003
Saturday,65,14,0,31,5,2003
Saturday,25,14,0,31,5,2003
Saturday,16,14,0,31,5,2003
Saturday,70,14,0,31,5,2003
Saturday,32,14,0,31,5,2003
Saturday,30,14,0,31,5,2003
Sunday,47,16,0,1,6,2003
Sunday,35,16,0,1,6,2003
Sunday,37,16,0,1,6,2003
Sunday,57,16,0,1,6,2003
Sunday,72,16,0,1,6,2003
Sunday,24,16,0,1,6,2003
Sunday,28,16,0,1,6,2003
Sunday,80,16,0,1,6,2003
Sunday,30,16,0,1,6,2003
Sunday,32,16,0,1,6,2003
Monday,62,17,0,9,6,2003
Monday,32,17,0,9,6,2003
Monday,23,17,0,9,6,2003
