Dates,PdDistrict,DayOfWeek,Crimes,avg_temp,NFL_Game_Day,Day,Month,Year
2003-01-23,TARAVAL,Thursday,35,14,0,23,1,2003
2003-01-23,TENDERLOIN,Thursday,29,14,0,23,1,2003
2003-01-24,BAYVIEW,Friday,46,13,0,24,1,2003
2003-01-24,CENTRAL,Friday,30,13,0,24,1,2003
2003-01-24,INGLESIDE,Friday,49,13,0,24,1,2003
2003-01-24,MISSION,Friday,68,13,0,24,1,2003
2003-01-24,NORTHERN,Friday,67,13,0,24,1,2003
2003-01-24,PARK,Friday,38,13,0,24,1,2003
2003-01-24,RICHMOND,Friday,31,13,0,24,1,2003
2003-01-24,SOUTHERN,Friday,73,13,0,24,1,2003
2003-01-24,TARAVAL,Friday,31,13,0,24,1,2003
2003-01-24,TENDERLOIN,Friday,33,13,0,24,1,2003
2003-01-25,BAYVIEW,Saturday,84,14,0,25,1,2003
2003-01-25,CENTRAL,Saturday,47,14,0,25,1,2003
2003-01-25,INGLESIDE,Saturday,25,14,0,25,1,2003
2003-01-25,MISSION,Saturday,75,14,0,25,1,2003
2003-01-25,NORTHERN,Saturday,40,14,0,25,1,2003
2003-01-25,PARK,Saturday,21,14,0,25,1,2003
2003-01-25,RICHMOND,Saturday,19,14,0,25,1,2003
2003-01-25,SOUTHERN,Saturday,78,14,0,25,1,2003
2003-01-25,TARAVAL,Saturday,38,14,0,25,1,2003
2003-01-25,TENDERLOIN,Saturday,42,14,0,25,1,2003
2003-01-26,BAYVIEW,Sunday,41,13,0,26,1,2003
2003-01-26,CENTRAL,Sunday,28,13,0,26,1,2003
2003-01-26,INGLESIDE,Sunday,27,13,0,26,1,2003
2003-01-26,MISSION,Sunday,51,13,0,26,1,2003
2003-01-26,NORTHERN,Sunday,47,13,0,26,1,2003
2003-01-26,PARK,Sunday,14,13,0,26,1,2003
2003-01-26,RICHMOND,Sunday,23,13,0,26,1,2003
2003-01-26,SOUTHERN,Sunday,44,13,0,26,1,2003
2003-01-26,TARAVAL,Sunday,32,13,0,26,1,2003
2003-01-26,TENDERLOIN,Sunday,34,13,0,26,1,2003
2003-02-03,BAYVIEW,Monday,40,11,0,3,2,2003
2003-02-03,CENTRAL,Monday,20,11,0,3,2,2003
2003-02-03,INGLESIDE,Monday,54,11,0,3,2,2003
2003-02-03,MISSION,Monday,69,11,0,3,2,2003
2003-02-03,NORTHERN,Monday,47,11,0,3,2,2003
2003-02-03,PARK,Monday,28,11,0,3,2,2003
2003-02-03,RICHMOND,Monday,26,11,0,3,2,2003
2003-02-03,SOUTHERN,Monday,65,11,0,3,2,2003
2003-02-03,TARAVAL,Monday,29,11,0,3,2,2003
2003-02-03,TENDERLOIN,Monday,46,11,0,3,2,2003
2003-02-04,BAYVIEW,Tuesday,40,11,0,4,2,2003
2003-02-04,CENTRAL,Tuesday,33,11,0,4,2,2003
2003-02-04,INGLESIDE,Tuesday,33,11,0,4,2,2003
2003-02-04,MISSION,Tuesday,87,11,0,4,2,2003
2003-02-04,NORTHERN,Tuesday,48,11,0,4,2,2003
2003-02-04,PARK,Tuesday,23,11,0,4,2,2003
2003-02-04,RICHMOND,Tuesday,17,11,0,4,2,2003
2003-02-04,SOUTHERN,Tuesday,71,11,0,4,2,2003
2003-02-04,TARAVAL,Tuesday,37,11,0,4,2,2003
2003-02-04,TENDERLOIN,Tuesday,61,11,0,4,2,2003
2003-02-05,BAYVIEW,Wednesday,33,11,0,5,2,2003
2003-02-05,CENTRAL,Wednesday,36,11,0,5,2,2003
2003-02-05,INGLESIDE,Wednesday,44,11,0,5,2,2003
2003-02-05,MISSION,Wednesday,66,11,0,5,2,2003
2003-02-05,NORTHERN,Wednesday,48,11,0,5,2,2003
2003-02-05,PARK,Wednesday,21,11,0,5,2,2003
2003-02-05,RICHMOND,Wednesday,19,11,0,5,2,2003
2003-02-05,SOUTHERN,Wednesday,75,11,0,5,2,2003
2003-02-05,TARAVAL,Wednesday,19,11,0,5,2,2003
2003-02-05,TENDERLOIN,Wednesday,45,11,0,5,2,2003
2003-02-06,BAYVIEW,Thursday,68,9,0,6,2,2003
2003-02-06,CENTRAL,Thursday,53,9,0,6,2,2003
2003-02-06,INGLESIDE,Thursday,47,9,0,6,2,2003
2003-02-06,MISSION,Thursday,73,9,0,6,2,2003
2003-02-06,NORTHERN,Thursday,61,9,0,6,2,2003
2003-02-06,PARK,Thursday,14,9,0,6,2,2003
2003-02-06,RICHMOND,Thursday,22,9,0,6,2,2003
2003-02-06,SOUTHERN,Thursday,77,9,0,6,2,2003
2003-02-06,TARAVAL,Thursday,30,9,0,6,2,2003
2003-02-06,TENDERLOIN,Thursday,29,9,0,6,2,2003
2003-02-07,BAYVIEW,Friday,53,11,0,7,2,2003
2003-02-07,CENTRAL,Friday,52,11,0,7,2,2003
2003-02-07,INGLESIDE,Friday,47,11,0,7,2,2003
2003-02-07,MISSION,Friday,65,11,0,7,2,2003
2003-02-07,NORTHERN,Friday,77,11,0,7,2,2003
2003-02-07,PARK,Friday,29,11,0,7,2,2003
2003-02-07,RICHMOND,Friday,27,11,0,7,2,2003
2003-02-07,SOUTHERN,Friday,87,11,0,7,2,2003
2003-02-07,TARAVAL,Friday,29,11,0,7,2,2003
2003-02-07,TENDERLOIN,Friday,40,11,0,7,2,2003
2003-02-08,BAYVIEW,Saturday,32,8,0,8,2,2003
2003-02-08,CENTRAL,Saturday,42,8,0,8,2,2003
2003-02-08,INGLESIDE,Saturday,37,8,0,8,2,2003
2003-02-08,MISSION,Saturday,49,8,0,8,2,2003
2003-02-08,NORTHERN,Saturday,44,8,0,8,2,2003
2003-02-08,PARK,Saturday,19,8,0,8,2,2003
2003-02-08,RICHMOND,Saturday,10,8,0,8,2,2003
2003-02-08,SOUTHERN,Saturday,83,8,0,8,2,2003
2003-02-08,TARAVAL,Saturday,29,8,0,8,2,2003
2003-02-08,TENDERLOIN,Saturday,29,8,0,8,2,2003
2003-02-09,BAYVIEW,Sunday,43,8,0,9,2,2003
2003-02-09,CENTRAL,Sunday,22,8,0,9,2,2003
2003-02-09,INGLESIDE,Sunday,31,8,0,9,2,2003
2003-02-09,MISSION,Sunday,50,8,0,9,2,2003
2003-02-09,NORTHERN,Sunday,48,8,0,9,2,2003
2003-02-09,PARK,Sunday,19,8,0,9,2,2003
2003-02-09,RICHMOND,Sunday,26,8,0,9,2,2003
2003-02-09,SOUTHERN,Sunday,60,8,0,9,2,2003
2003-02-09,TARAVAL,Sunday,28,8,0,9,2,2003
2003-02-09,TENDERLOIN,Sunday,33,8,0,9,2,2003
2003-02-17,BAYVIEW,Monday,39,11,0,17,2,2003
2003-02-17,CENTRAL,Monday,47,11,0,17,2,2003
2003-02-17,INGLESIDE,Monday,35,11,0,17,2,2003
2003-02-17,MISSION,Monday,54,11,0,17,2,2003
2003-02-17,NORTHERN,Monday,50,11,0,17,2,2003
2003-02-17,PARK,Monday,10,11,0,17,2,2003
2003-02-17,RICHMOND,Monday,23,11,0,17,2,2003
2003-02-17,SOUTHERN,Monday,64,11,0,17,2,2003
2003-02-17,TARAVAL,Monday,20,11,0,17,2,2003
2003-02-17,TENDERLOIN,Monday,39,11,0,17,2,2003
2003-02-18,BAYVIEW,Tuesday,54,11,0,18,2,2003
2003-02-18,CENTRAL,Tuesday,28,11,0,18,2,2003
2003-02-18,INGLESIDE,Tuesday,45,11,0,18,2,2003
2003-02-18,MISSION,Tuesday,90,11,0,18,2,2003
2003-02-18,NORTHERN,Tuesday,71,11,0,18,2,2003
2003-02-18,PARK,Tuesday,23,11,0,18,2,2003
2003-02-18,RICHMOND,Tuesday,19,11,0,18,2,2003
2003-02-18,SOUTHERN,Tuesday,81,11,0,18,2,2003
2003-02-18,TARAVAL,Tuesday,26,11,0,18,2,2003
2003-02-18,TENDERLOIN,Tuesday,48,11,0,18,2,2003
2003-02-19,BAYVIEW,Wednesday,56,11,0,19,2,2003
2003-02-19,CENTRAL,Wednesday,38,11,0,19,2,2003
2003-02-19,INGLESIDE,Wednesday,51,11,0,19,2,2003
2003-02-19,MISSION,Wednesday,48,11,0,19,2,2003
2003-02-19,NORTHERN,Wednesday,63,11,0,19,2,2003
2003-02-19,PARK,Wednesday,19,11,0,19,2,2003
2003-02-19,RICHMOND,Wednesday,31,11,0,19,2,2003
2003-02-19,SOUTHERN,Wednesday,83,11,0,19,2,2003
2003-02-19,TARAVAL,Wednesday,38,11,0,19,2,2003
2003-02-19,TENDERLOIN,Wednesday,38,11,0,19,2,2003
2003-02-20,BAYVIEW,Thursday,39,11,0,20,2,2003
2003-02-20,CENTRAL,Thursday,35,11,0,20,2,2003
2003-02-20,INGLESIDE,Thursday,49,11,0,20,2,2003
2003-02-20,MISSION,Thursday,71,11,0,20,2,2003
2003-02-20,NORTHERN,Thursday,39,11,0,20,2,2003
2003-02-20,PARK,Thursday,25,11,0,20,2,2003
2003-02-20,RICHMOND,Thursday,24,11,0,20,2,2003
2003-02-20,SOUTHERN,Thursday,69,11,0,20,2,2003
2003-02-20,TARAVAL,Thursday,31,11,0,20,2,2003
2003-02-20,TENDERLOIN,Thursday,42,11,0,20,2,2003
2003-02-21,BAYVIEW,Friday,63,12,0,21,2,2003
2003-02-21,CENTRAL,Friday,31,12,0,21,2,2003
2003-02-21,INGLESIDE,Friday,40,12,0,21,2,2003
2003-02-21,MISSION,Friday,60,12,0,21,2,2003
2003-02-21,NORTHERN,Friday,46,12,0,21,2,2003
2003-02-21,PARK,Friday,25,12,0,21,2,2003
2003-02-21,RICHMOND,Friday,23,12,0,21,2,2003
2003-02-21,SOUTHERN,Friday,61,12,0,21,2,2003
2003-02-21,TARAVAL,Friday,37,12,0,21,2,2003
2003-02-21,TENDERLOIN,Friday,31,12,0,21,2,2003
2003-02-22,BAYVIEW,Saturday,42,13,0,22,2,2003
2003-02-22,CENTRAL,Saturday,38,13,0,22,2,2003
2003-02-22,INGLESIDE,Saturday,43,13,0,22,2,2003
2003-02-22,MISSION,Saturday,102,13,0,22,2,2003
2003-02-22,NORTHERN,Saturday,50,13,0,22,2,2003
2003-02-22,PARK,Saturday,21,13,0,22,2,2003
2003-02-22,RICHMOND,Saturday,24,13,0,22,2,2003
2003-02-22,SOUTHERN,Saturday,69,13,0,22,2,2003
2003-02-22,TARAVAL,Saturday,22,13,0,22,2,2003
2003-02-22,TENDERLOIN,Saturday,21,13,0,22,2,2003
2003-02-23,BAYVIEW,Sunday,44,12,0,23,2,2003
2003-02-23,CENTRAL,Sunday,24,12,0,23,2,2003
2003-02-23,INGLESIDE,Sunday,43,12,0,23,2,2003
2003-02-23,MISSION,Sunday,48,12,0,23,2,2003
2003-02-23,NORTHERN,Sunday,55,12,0,23,2,2003
2003-02-23,PARK,Sunday,17,12,0,23,2,2003
2003-02-23,RICHMOND,Sunday,22,12,0,23,2,2003
2003-02-23,SOUTHERN,Sunday,70,12,0,23,2,2003
2003-02-23,TARAVAL,Sunday,28,12,0,23,2,2003
2003-02-23,TENDERLOIN,Sunday,15,12,0,23,2,2003
2003-03-03,BAYVIEW,Monday,43,11,0,3,3,2003
2003-03-03,CENTRAL,Monday,43,11,0,3,3,2003
2003-03-03,INGLESIDE,Monday,37,11,0,3,3,2003
2003-03-03,MISSION,Monday,64,11,0,3,3,2003
2003-03-03,NORTHERN,Monday,48,11,0,3,3,2003
2003-03-03,PARK,Monday,28,11,0,3,3,2003
2003-03-03,RICHMOND,Monday,17,11,0,3,3,2003
2003-03-03,SOUTHERN,Monday,58,11,0,3,3,2003
2003-03-03,TARAVAL,Monday,29,11,0,3,3,2003
2003-03-03,TENDERLOIN,Monday,26,11,0,3,3,2003
2003-03-04,BAYVIEW,Tuesday,48,10,0,4,3,2003
2003-03-04,CENTRAL,Tuesday,41,10,0,4,3,2003
2003-03-04,INGLESIDE,Tuesday,41,10,0,4,3,2003
2003-03-04,MISSION,Tuesday,59,10,0,4,3,2003
2003-03-04,NORTHERN,Tuesday,55,10,0,4,3,2003
2003-03-04,PARK,Tuesday,24,10,0,4,3,2003
2003-03-04,RICHMOND,Tuesday,23,10,0,4,3,2003
2003-03-04,SOUTHERN,Tuesday,91,10,0,4,3,2003
2003-03-04,TARAVAL,Tuesday,43,10,0,4,3,2003
2003-03-04,TENDERLOIN,Tuesday,39,10,0,4,3,2003
2003-03-05,BAYVIEW,Wednesday,36,12,0,5,3,2003
2003-03-05,CENTRAL,Wednesday,24,12,0,5,3,2003
2003-03-05,INGLESIDE,Wednesday,38,12,0,5,3,2003
2003-03-05,MISSION,Wednesday,69,12,0,5,3,2003
2003-03-05,NORTHERN,Wednesday,64,12,0,5,3,2003
2003-03-05,PARK,Wednesday,25,12,0,5,3,2003
2003-03-05,RICHMOND,Wednesday,18,12,0,5,3,2003
2003-03-05,SOUTHERN,Wednesday,67,12,0,5,3,2003
2003-03-05,TARAVAL,Wednesday,35,12,0,5,3,2003
2003-03-05,TENDERLOIN,Wednesday,42,12,0,5,3,2003
2003-03-06,BAYVIEW,Thursday,43,12,0,6,3,2003
2003-03-06,CENTRAL,Thursday,37,12,0,6,3,2003
2003-03-06,INGLESIDE,Thursday,49,12,0,6,3,2003
2003-03-06,MISSION,Thursday,56,12,0,6,3,2003
2003-03-06,NORTHERN,Thursday,56,12,0,6,3,2003
2003-03-06,PARK,Thursday,20,12,0,6,3,2003
2003-03-06,RICHMOND,Thursday,18,12,0,6,3,2003
2003-03-06,SOUTHERN,Thursday,70,12,0,6,3,2003
2003-03-06,TARAVAL,Thursday,41,12,0,6,3,2003
2003-03-06,TENDERLOIN,Thursday,33,12,0,6,3,2003
2003-03-07,BAYVIEW,Friday,35,11,0,7,3,2003
2003-03-07,CENTRAL,Friday,50,11,0,7,3,2003
2003-03-07,INGLESIDE,Friday,35,11,0,7,3,2003
2003-03-07,MISSION,Friday,86,11,0,7,3,2003
2003-03-07,NORTHERN,Friday,59,11,0,7,3,2003
2003-03-07,PARK,Friday,41,11,0,7,3,2003
2003-03-07,RICHMOND,Friday,23,11,0,7,3,2003
2003-03-07,SOUTHERN,Friday,84,11,0,7,3,2003
2003-03-07,TARAVAL,Friday,33,11,0,7,3,2003
2003-03-07,TENDERLOIN,Friday,47,11,0,7,3,2003
2003-03-08,BAYVIEW,Saturday,45,11,0,8,3,2003
2003-03-08,CENTRAL,Saturday,41,11,0,8,3,2003
2003-03-08,INGLESIDE,Saturday,34,11,0,8,3,2003
2003-03-08,MISSION,Saturday,69,11,0,8,3,2003
2003-03-08,NORTHERN,Saturday,53,11,0,8,3,2003
2003-03-08,PARK,Saturday,30,11,0,8,3,2003
2003-03-08,RICHMOND,Saturday,14,11,0,8,3,2003
2003-03-08,SOUTHERN,Saturday,72,11,0,8,3,2003
2003-03-08,TARAVAL,Saturday,32,11,0,8,3,2003
2003-03-08,TENDERLOIN,Saturday,27,11,0,8,3,2003
2003-03-09,BAYVIEW,Sunday,58,11,0,9,3,2003
2003-03-09,CENTRAL,Sunday,36,11,0,9,3,2003
2003-03-09,INGLESIDE,Sunday,34,11,0,9,3,2003
2003-03-09,MISSION,Sunday,47,11,0,9,3,2003
2003-03-09,NORTHERN,Sunday,39,11,0,9,3,2003
2003-03-09,PARK,Sunday,17,11,0,9,3,2003
2003-03-09,RICHMOND,Sunday,11,11,0,9,3,2003
2003-03-09,SOUTHERN,Sunday,65,11,0,9,3,2003
2003-03-09,TARAVAL,Sunday,22,11,0,9,3,2003
2003-03-09,TENDERLOIN,Sunday,30,11,0,9,3,2003
2003-03-17,BAYVIEW,Monday,43,12,0,17,3,2003
2003-03-17,CENTRAL,Monday,39,12,0,17,3,2003
2003-03-17,INGLESIDE,Monday,44,12,0,17,3,2003
2003-03-17,MISSION,Monday,57,12,0,17,3,2003
2003-03-17,NORTHERN,Monday,55,12,0,17,3,2003
2003-03-17,PARK,Monday,22,12,0,17,3,2003
2003-03-17,RICHMOND,Monday,22,12,0,17,3,2003
2003-03-17,SOUTHERN,Monday,63,12,0,17,3,2003
2003-03-17,TARAVAL,Monday,30,12,0,17,3,2003
2003-03-17,TENDERLOIN,Monday,36,12,0,17,3,2003
2003-03-18,BAYVIEW,Tuesday,43,12,0,18,3,2003
2003-03-18,CENTRAL,Tuesday,48,12,0,18,3,2003
2003-03-18,INGLESIDE,Tuesday,49,12,0,18,3,2003
2003-03-18,MISSION,Tuesday,39,12,0,18,3,2003
2003-03-18,NORTHERN,Tuesday,63,12,0,18,3,2003
2003-03-18,PARK,Tuesday,22,12,0,18,3,2003
2003-03-18,RICHMOND,Tuesday,27,12,0,18,3,2003
2003-03-18,SOUTHERN,Tuesday,60,12,0,18,3,2003
2003-03-18,TARAVAL,Tuesday,38,12,0,18,3,2003
2003-03-18,TENDERLOIN,Tuesday,41,12,0,18,3,2003
2003-03-19,BAYVIEW,Wednesday,34,13,0,19,3,2003
2003-03-19,CENTRAL,Wednesday,26,13,0,19,3,2003
2003-03-19,INGLESIDE,Wednesday,40,13,0,19,3,2003
2003-03-19,MISSION,Wednesday,44,13,0,19,3,2003
2003-03-19,NORTHERN,Wednesday,46,13,0,19,3,2003
2003-03-19,PARK,Wednesday,14,13,0,19,3,2003
2003-03-19,RICHMOND,Wednesday,14,13,0,19,3,2003
2003-03-19,SOUTHERN,Wednesday,58,13,0,19,3,2003
2003-03-19,TARAVAL,Wednesday,27,13,0,19,3,2003
2003-03-19,TENDERLOIN,Wednesday,36,13,0,19,3,2003
2003-03-20,BAYVIEW,Thursday,29,13,0,20,3,2003
2003-03-20,CENTRAL,Thursday,38,13,0,20,3,2003
2003-03-20,INGLESIDE,Thursday,38,13,0,20,3,2003
2003-03-20,MISSION,Thursday,52,13,0,20,3,2003
2003-03-20,NORTHERN,Thursday,46,13,0,20,3,2003
2003-03-20,PARK,Thursday,19,13,0,20,3,2003
2003-03-20,RICHMOND,Thursday,15,13,0,20,3,2003
2003-03-20,SOUTHERN,Thursday,163,13,0,20,3,2003
2003-03-20,TARAVAL,Thursday,37,13,0,20,3,2003
2003-03-20,TENDERLOIN,Thursday,23,13,0,20,3,2003
2003-03-21,BAYVIEW,Friday,38,12,0,21,3,2003
2003-03-21,CENTRAL,Friday,52,12,0,21,3,2003
2003-03-21,INGLESIDE,Friday,32,12,0,21,3,2003
2003-03-21,MISSION,Friday,47,12,0,21,3,2003
2003-03-21,NORTHERN,Friday,67,12,0,21,3,2003
2003-03-21,PARK,Friday,25,12,0,21,3,2003
2003-03-21,RICHMOND,Friday,10,12,0,21,3,2003
2003-03-21,SOUTHERN,Friday,89,12,0,21,3,2003
2003-03-21,TARAVAL,Friday,22,12,0,21,3,2003
2003-03-21,TENDERLOIN,Friday,20,12,0,21,3,2003
2003-03-22,BAYVIEW,Saturday,32,13,0,22,3,2003
2003-03-22,CENTRAL,Saturday,38,13,0,22,3,2003
2003-03-22,INGLESIDE,Saturday,21,13,0,22,3,2003
2003-03-22,MISSION,Saturday,51,13,0,22,3,2003
2003-03-22,NORTHERN,Saturday,49,13,0,22,3,2003
2003-03-22,PARK,Saturday,15,13,0,22,3,2003
2003-03-22,RICHMOND,Saturday,20,13,0,22,3,2003
2003-03-22,SOUTHERN,Saturday,90,13,0,22,3,2003
2003-03-22,TARAVAL,Saturday,35,13,0,22,3,2003
2003-03-22,TENDERLOIN,Saturday,31,13,0,22,3,2003
2003-03-23,BAYVIEW,Sunday,32,12,0,23,3,2003
2003-03-23,CENTRAL,Sunday,25,12,0,23,3,2003
2003-03-23,INGLESIDE,Sunday,34,12,0,23,3,2003
2003-03-23,MISSION,Sunday,38,12,0,23,3,2003
2003-03-23,NORTHERN,Sunday,52,12,0,23,3,2003
2003-03-23,PARK,Sunday,23,12,0,23,3,2003
2003-03-23,RICHMOND,Sunday,22,12,0,23,3,2003
2003-03-23,SOUTHERN,Sunday,43,12,0,23,3,2003
2003-03-23,TARAVAL,Sunday,32,12,0,23,3,2003
2003-03-23,TENDERLOIN,Sunday,22,12,0,23,3,2003
2003-03-31,BAYVIEW,Monday,45,14,0,31,3,2003
2003-03-31,CENTRAL,Monday,25,14,0,31,3,2003
2003-03-31,INGLESIDE,Monday,32,14,0,31,3,2003
2003-03-31,MISSION,Monday,53,14,0,31,3,2003
2003-03-31,NORTHERN,Monday,50,14,0,31,3,2003
2003-03-31,PARK,Monday,22,14,0,31,3,2003
2003-03-31,RICHMOND,Monday,24,14,0,31,3,2003
2003-03-31,SOUTHERN,Monday,68,14,0,31,3,2003
2003-03-31,TARAVAL,Monday,28,14,0,31,3,2003
2003-03-31,TENDERLOIN,Monday,38,14,0,31,3,2003
2003-04-01,BAYVIEW,Tuesday,58,12,0,1,4,2003
2003-04-01,CENTRAL,Tuesday,41,12,0,1,4,2003
2003-04-01,INGLESIDE,Tuesday,55,12,0,1,4,2003
2003-04-01,MISSION,Tuesday,64,12,0,1,4,2003
